date,index_name,close
2026-03-11,電器電纜類指數,102.32
2026-03-11,化學生技醫療類指數,142.9
2026-03-11,化學類指數,168.51
2026-03-11,生技醫療類指數,80.5
2026-03-11,玻璃陶瓷類指數,132.91
2026-03-11,造紙類指數,241.2
2026-03-11,鋼鐵類指數,120.79
2026-03-11,橡膠類指數,183.77
2026-03-11,汽車類指數,294.67
2026-03-11,電子工業類指數,2124.08
2026-03-11,半導體類指數,1148.73
2026-03-11,電腦及週邊設備類指數,316.75
2026-03-11,光電類指數,44.54
2026-03-11,通信網路類指數,204.18
2026-03-11,電子零組件類指數,555.68
2026-03-11,電子通路類指數,308.37
2026-03-11,資訊服務類指數,199.04
2026-03-11,其他電子類指數,228.82
2026-03-11,建材營造類指數,469.0
2026-03-11,航運類指數,184.87
2026-03-11,觀光餐旅類指數,106.49
2026-03-11,金融保險類指數,2433.54
2026-03-11,貿易百貨類指數,232.13
2026-03-11,油電燃氣類指數,80.36
2026-03-11,綠能環保類指數,111.02
2026-03-11,數位雲端類指數,35.6
2026-03-11,運動休閒類指數,62.95
2026-03-11,居家生活類指數,107.71
2026-03-11,其他類指數,266.12
2026-03-10,發行量加權股價指數,32771.87
2026-03-10,水泥窯製類指數,596.44
2026-03-10,塑膠化工類指數,725.22
2026-03-10,機電類指數,11189.41
2026-03-10,水泥類指數,121.88
2026-03-10,食品類指數,1904.27
2026-03-10,塑膠類指數,182.61
2026-03-10,紡織纖維類指數,498.5
2026-03-10,電機機械類指數,456.9
2026-03-10,電器電纜類指數,98.28
2026-03-10,化學生技醫療類指數,140.14
2026-03-10,化學類指數,161.36
2026-03-10,生技醫療類指數,79.79
2026-03-10,玻璃陶瓷類指數,121.71
2026-03-10,造紙類指數,239.32
2026-03-10,鋼鐵類指數,118.58
2026-03-10,橡膠類指數,183.05
2026-03-10,汽車類指數,289.46
2026-03-10,電子工業類指數,2025.71
2026-03-10,半導體類指數,1095.52
2026-03-10,電腦及週邊設備類指數,303.69
2026-03-10,光電類指數,42.16
2026-03-10,通信網路類指數,200.39
2026-03-10,電子零組件類指數,523.02
2026-03-10,電子通路類指數,298.99
2026-03-10,資訊服務類指數,194.57
2026-03-10,其他電子類指數,218.24
2026-03-10,建材營造類指數,462.93
2026-03-10,航運類指數,181.15
2026-03-10,觀光餐旅類指數,104.55
2026-03-10,金融保險類指數,2415.59
2026-03-10,貿易百貨類指數,232.34
2026-03-10,油電燃氣類指數,85.06
2026-03-10,綠能環保類指數,107.47
2026-03-10,數位雲端類指數,35.55
2026-03-10,運動休閒類指數,62.58
2026-03-10,居家生活類指數,102.04
2026-03-10,其他類指數,263.57
2026-03-09,發行量加權股價指數,32110.42
2026-03-09,水泥窯製類指數,600.27
2026-03-09,塑膠化工類指數,715.23
2026-03-09,機電類指數,10913.04
2026-03-09,水泥類指數,121.9
2026-03-09,食品類指數,1910.69
2026-03-09,塑膠類指數,179.51
2026-03-09,紡織纖維類指數,502.29
2026-03-09,電機機械類指數,444.88
2026-03-09,電器電纜類指數,96.48
2026-03-09,化學生技醫療類指數,138.17
2026-03-09,化學類指數,159.69
2026-03-09,生技醫療類指數,78.54
2026-03-09,玻璃陶瓷類指數,124.1
2026-03-09,造紙類指數,238.0
2026-03-09,鋼鐵類指數,118.04
2026-03-09,橡膠類指數,184.69
2026-03-09,汽車類指數,288.9
2026-03-09,電子工業類指數,1975.69
2026-03-09,半導體類指數,1069.11
2026-03-09,電腦及週邊設備類指數,299.58
2026-03-09,光電類指數,41.94
2026-03-09,通信網路類指數,198.86
2026-03-09,電子零組件類指數,495.58
2026-03-09,電子通路類指數,292.14
2026-03-09,資訊服務類指數,194.95
2026-03-09,其他電子類指數,216.19
2026-03-09,建材營造類指數,458.77
2026-03-09,航運類指數,182.75
2026-03-09,觀光餐旅類指數,102.36
2026-03-09,金融保險類指數,2402.96
2026-03-09,貿易百貨類指數,231.89
2026-03-09,油電燃氣類指數,93.91
2026-03-09,綠能環保類指數,105.02
